identifier,commonName,legalName,description,slogan,website,location,state,taxID,webgenerator
afrolanews_org,AfroLA,AfroLA,"AfroLA is solutions-focused, data-driven and community-centered journalism for Los Angeles, told through the lens of the Black community.",,https://afrolanews.org/,Los Angeles,CA,88-2517496,"[""WordPress 6.4.2""]"
ashland_news,Ashland.news,Ashland News,"Ashland.news - Independent, nonprofit, community-based news informing our local residents in current events and local stories.",,https://ashland.news/,Ashland,OR,35-2721220,"[""WordPress 6.4.2"", ""Elementor 3.18.3; features: e_dom_optimization, e_optimized_assets_loading, e_optimized_css_loading, additional_custom_breakpoints, block_editor_assets_optimize, e_image_loading_optimization; settings: css_print_method-internal, google_font-enabled, font_display-auto""]"
aspenjournalism_org,Aspen Journalism,Aspen Journalism,"A nonprofit newsroom reporting on water, environment, social justice, history and data from Aspen to Marble to upper Colorado River Basin.",local. nonprofit. investigative,https://aspenjournalism.org/,Aspen,CO,26-4267233,"[""Site Kit by Google 1.118.0""]"
austinmonitor_com,Austin Monitor,Capital Of Texas Media Foundation,"Austin and Central Texas, Monitored",,https://www.austinmonitor.com/,Austin,TX,46-3398438,
avlwatchdog_org,Asheville Watchdog,Asheville Watchdog,"Informing and engaging the citizens of Asheville and surrounding communities by providing fair, factual and reliable in-depth news stories about local government, institutions, issues, and people.",Nonprofit journalism in the public interest,https://avlwatchdog.org/,Asheville,NC,85-0614521,"[""Site Kit by Google 1.118.0""]"
azluminaria_org,Arizona Luminaria,Arizona Local Post,"AZ Luminaria publishes local news and community-centered journalism on the environment, equity, education and voting in Tucson and Arizona.",Lighting the path so you can take action,https://azluminaria.org/,Tucson,AZ,87-2217945,"[""Site Kit by Google 1.118.0""]"
bedfordcitizen,Bedford Citizen,"The Bedford Citizen, Inc.",,"The Bedford Citizen informs and engages the Bedford, MA, community through reporting news of local significance, promoting local events, fostering connectivity, and encouraging participation.",https://www.thebedfordcitizen.org/,Bedford,MA,46-0777549,""
belmontonian,Belmontonian,The Belmontonian LLC,Just getting started,News in the Town of Homes.,https://belmontonian.com/,Belmont,MA,,""
belmontvoice,Belmont Voice,Belmont News Foundation Inc.,Weekly print edition; newly formed 2022.,News in the Town of Homes.,https://belmontvoice.org/,Belmont,MA,92-3493154,""
beltmag_com,Belt Magazine,Belt Media Collaborative,,,https://beltmag.com/,Cleveland,OH,47-5386846,
berkeleyside_com,Berkeleyside,Cityside Journalism Initiative,"Berkeleyside is the leading local news source for breaking news, public safety, politics, food, real estate and development, education and more in Berkeley, California.","Nonprofit news. Free for all, funded by readers.",https://www.berkeleyside.org/,Berkeley,CA,84-3448887,"[""Site Kit by Google 1.118.0""]"
bigiftrue_org,Big If True,Streetlight Inc,"",,https://streetlightnews.org/,Oklahoma City,OK,82-5409220,"[""WordPress 6.4.2""]"
billypenn_com,Billy Penn at WHYY,Billy Penn at WHYY,"A member-supported news team bringing you everything from politics to neighborhoods, history, sports, food and fun.","Philadelphia local news: Neighborhoods, politics, food, and fun",https://billypenn.com/,Philadelphia,PA,23-1438083,"[""Site Kit by Google 1.118.0""]"
boulderreportinglab_org,Boulder Reporting Lab,The Boulder Reporting Lab,"Boulder Reporting Lab is building a new home for quality, non-partisan, independent daily journalism for Boulder, CO locals.",,https://boulderreportinglab.org/,Boulder,CO,87-1232586,"[""Site Kit by Google 1.118.0""]"
brooklinenews,Brookline.news,BrooklineDotNews,,,https://brookline.news/about-us/,Brookline,MA,88-4218324,""
cambridgeday,Cambridge Day,Cambridge Media Systems LLC,"Weekly print edition at businesses, libraries.","",https://www.cambridgeday.com/,Cambridge,MA,,""
canopyatlanta_org,Canopy Atlanta,Canopy Atlanta,"",,https://canopyatlanta.org/,Atlanta,GA,85-0694979,"[""Site Kit by Google 1.118.0""]"
cardinalnews_org,Cardinal News,Cardinal Productions,"Cardinal News provides in-depth journalism about the politics, economy and culture of Southwest and Southside Virginia.",Serving Southwest and Southside Virginia,https://cardinalnews.org/,Roanoke,VA,87-1532828,"[""Site Kit by Google 1.118.0""]"
carlislemosquito,Carlisle Mosquito,"Carlisle Communication, Inc.",Weekly print edition delivered free; had 11 employees in 2021.,"",https://www.carlislemosquito.org/,Carlisle,MA,23-7246801,""
carolinapublicpress_org,Carolina Public Press,Carolina Public Press,Read More Latest News NC Connection:Closing the News Gap A special CPP research project on the news needs of rural North Carolinians Read the report Keep,"Carolina Public Press provides in-depth, investigative reporting on issues affecting Western North Carolina in a nonprofit, nonpartisan setting.",https://carolinapublicpress.org/,Asheville,NC,46-0801080,"[""Site Kit by Google 1.118.0""]"
charlottenewsvt_org,The Charlotte News,Friends Of The Charlotte News Inc,Other News Stories,,https://www.charlottenewsvt.org/,Charlotte,VT,46-4574086,
concordbridge,Concord Bridge,"Concord Independent Foundation, Inc.",Weekly print edition delivered free.,Keeping Concord Connected,https://theconcordbridge.org/,Concord,MA,86-3807140,""
eastlansinginfo_news,East Lansing Info,,"",,https://eastlansinginfo.news/,East Lansing,MI,46-5444564,"[""WordPress 6.4.2""]"
ecori_org,ecoRI News,EcoRI,ecoRI News is dedicated to reporting on environmental and social justice issues in southern New England. We’re your environmental watchdog!,,https://ecori.org/,Providence,RI,26-4267233,"[""WordPress 6.4.2""]"
elpasomatters_org,El Paso Matters,El Paso Matters,"El Paso Matters is an independent, member-supported nonprofit news organization focusing on in-depth and investigative journalism covering the El Paso, Juarez border region",,https://elpasomatters.org/,El Paso,TX,83-4301968,"[""Site Kit by Google 1.118.0""]"
eplocalnews_org,"Eden Prairie Local News, Inc.",,"We are a nonprofit, non-partisan, citizen-run media organization. We report factual and timely news from around Eden Prairie, Minnesota.",,https://www.eplocalnews.org/,Eden Prairie,MN,85-4248265,"[""WordPress 6.4.2"", ""Elementor 3.18.3; features: e_dom_optimization, e_optimized_assets_loading, additional_custom_breakpoints, block_editor_assets_optimize, e_image_loading_optimization; settings: css_print_method-external, google_font-enabled, font_display-auto""]"
figcitynews,Fig City News,"Fig City News, Inc.",No IRS filings yet; incorporated 10-13-2022.,"Community News Hub for Newton, Massachusetts",https://figcitynews.com/,Newton,MA,92-0697644,""
floridabulldog_org,Florida Bulldog,Broward Buldog,Watchdog news you can sink your teeth into,,https://www.floridabulldog.org/,Fort Lauderdale,FL,27-0318157,
fresnoland_org,Fresnoland,Fresnoland,Fresnoland is a nonprofit news organization in California's central San Joaquin Valley dedicated to making policy public.,Making policy public for all Central San Joaquin Valley residents.,https://fresnoland.org/,Fresno,CA,83-0696156,"[""Site Kit by Google 1.118.0""]"
gigharbornow_org,Gig Harbor Now,Gig Harbor Now,"",,https://www.gigharbornow.org/,Gig Harbor,WA,86-1636609,"[""WordPress 6.4.2"", ""WordPress 6.4.2""]"
hcn_org,High Country News,High Country News,A nonprofit independent magazine of unblinking journalism that shines a light on all of the complexities of the West.,,https://www.hcn.org,Paonia,CO,23-7015336,"[""Plone - http://plone.org""]"
hoptownchronicle_org,Hoptown Chronicle,Hoptown Chronicle,"Hoptown Chronicle is a nonprofit news organization that provides public service journalism from the heart of Hopkinsville, Kentucky.",,https://hoptownchronicle.org/,Hopkinsville,KY,84-1736647,"[""WordPress 6.4.2"", ""Site Kit by Google 1.118.0"", ""Elementor 3.18.3; features: e_font_icon_svg, e_image_loading_optimization; settings: css_print_method-external, google_font-enabled, font_display-auto""]"
investigatemidwest_org,Investigate Midwest,Investigate Midwest,"Investigate Midwest is an independent, nonprofit newsroom. Our mission is to serve the public interest by exposing dangerous and costly practices of influential agricultural corporations and institutions through in-depth and data-driven investigative journalism.",,https://investigatemidwest.org/,Champaign,IL,27-1652830,"[""Site Kit by Google 1.118.0""]"
ipswichlocalnews,Ipswich Local News,"The Ipswich Local News, Inc.",Weekly printed paper; Income includes ads: $260K and Obits $11K.,"Reader-supported, community-driven news.",https://thelocalnews.news/,Ipswich,MA,84-3780597,""
